	area	Restaurant	Categories	image
0	ubc	Tim Horton's	Cafe	placeholder.png
1	ubc	Starbucks	Cafe	starbucks.png
2	ubc	The Corner Kitchen	Korean  Asian  BBQ	placeholder.png
3	ubc	Booster Juice	Juice and Smoothies	placeholder.png
4	ubc	Fresh Slice	Pizza	placeholder.png
5	ubc	Dawdlers Kitchen	Chinese	placeholder.png
6	ubc	Subway	Sandwiches, Salads	placeholder.png
7	ubc	Pearl Fever	Bubble Tea, Juice and Smoothies	placeholder.png
8	ubc	Vera Burger	Burgers American Bar Food	placeholder.png
9	ubc	Red Burrito	Mexican Fast Food New Mexican	placeholder.png
10	ubc	Only U Cafe	Coffee and Tea , American , Breakfast and Brunch	placeholder.png
11	ubc	Pita Pit	Juice and Smoothies, Fast Food	placeholder.png
12	ubc	McDonald's	Burgers, American, Fast Food	placeholder.png
13	ubc	Bubble Waffle Cafe	Chinese, Asian, Asian Fusion	placeholder.png
14	ubc	Suga Sushi Japanese restaurant	Japanese, Sushi, Asian	placeholder.png
15	ubc	A&W	Burgers, American,  Fast Food	placeholder.png
16	ubc	Pizza Garden	Pizza, Salads, Italian	placeholder.png
17	ubc	Aora Tandoori Express	Indian	placeholder.png
18	ubc	Bao Down	Asian Fusion, Sandwiches	placeholder.png
19	ubc	Nori	Japanese, Sushi, Asian	placeholder.png
20	ubc	Uncle Fatih's	Pizza	placeholder.png
21	ubc	Jamjar Canteen	Lebanese, Comfort Food, Vegetarian Friendly, Vegan Friendly	placeholder.png
22	ubc	Tacomio	Mexican, Latin American, New Mexican	placeholder.png
23	ubc	JJ Bean	Bakery, Breakfast and Brunch, Cafe	placeholder.png
24	ubc	Rain or Shine	Desserts Ice Cream and Frozen Yogurt	placeholder.png
25	ubc	Blue Chip	Bakery, Breakfast and Brunch, Cafe	placeholder.png
26	ubc	Honour Roll	Sushi, Asian	placeholder.png
27	ubc	Pi[E]R2	Pizza	placeholder.png
28	ubc	Blenz Coffee	Bakery, Breakfast and Brunch, Cafe	placeholder.png
29	ubc	Togo Sushi	Sushi, Asian	placeholder.png
